R,Method,Constraint,rel_risk,n
0.3,"StochOptForest
(apx-risk)",yes,1.2374808407678959,400
0.3,"StochOptForest
(apx-risk)",yes,1.3192025205520967,400
0.3,"StochOptForest
(apx-risk)",yes,1.3588281590149411,400
0.3,"StochOptForest
(apx-risk)",yes,1.3998824946714294,400
0.3,"StochOptForest
(apx-risk)",yes,1.4926023261695562,400
0.3,"StochOptForest
(apx-risk)",yes,1.2431787910190781,400
0.3,"StochOptForest
(apx-risk)",yes,1.4619007689213468,400
0.3,"StochOptForest
(apx-risk)",yes,1.2950017762306536,400
0.3,"StochOptForest
(apx-risk)",yes,1.3303374878808316,400
0.3,"StochOptForest
(apx-risk)",yes,1.4419992861347395,400
0.3,"StochOptForest
(apx-risk)",yes,1.2608076319085422,400
0.3,"StochOptForest
(apx-risk)",yes,1.143252641286891,400
0.3,"StochOptForest
(apx-risk)",yes,1.364058783512461,400
0.3,"StochOptForest
(apx-risk)",yes,1.345808223004603,400
0.3,"StochOptForest
(apx-risk)",yes,1.2302654232694739,400
0.3,"StochOptForest
(apx-risk)",yes,1.157708133915726,400
0.3,"StochOptForest
(apx-risk)",yes,1.3618944860360325,400
0.3,"StochOptForest
(apx-risk)",yes,1.2560004049536455,400
0.3,"StochOptForest
(apx-risk)",yes,1.272981460682949,400
0.3,"StochOptForest
(apx-risk)",yes,1.8190419077594362,400
0.3,"StochOptForest
(apx-risk)",yes,1.5751094399467802,400
0.3,"StochOptForest
(apx-risk)",yes,1.2903422181084787,400
0.3,"StochOptForest
(apx-risk)",yes,1.182249370838919,400
0.3,"StochOptForest
(apx-risk)",yes,1.3415831463784254,400
0.3,"StochOptForest
(apx-risk)",yes,1.2621860211528073,400
0.3,"StochOptForest
(apx-risk)",yes,1.110253650997357,400
0.3,"StochOptForest
(apx-risk)",yes,1.2838836512256562,400
0.3,"StochOptForest
(apx-risk)",yes,1.2591238112798975,400
