n,R,Method,Constraint,rel_risk
200,0.5,RandSplitForest,no,2.3456683027732543
200,0.5,RandSplitForest,no,2.4175569503494727
200,0.5,RandSplitForest,no,1.8326676718660313
200,0.5,RandSplitForest,no,2.820502183995791
200,0.5,RandSplitForest,no,1.5620485059625453
200,0.5,RandSplitForest,no,2.6325816694760085
200,0.5,RandSplitForest,no,2.305538439289822
200,0.5,RandSplitForest,no,1.773337600121596
200,0.5,RandSplitForest,no,1.877909139594574
200,0.5,RandSplitForest,no,3.2698205304549295
200,0.5,RandSplitForest,no,2.499001517949015
200,0.5,RandSplitForest,no,2.6488568960761296
200,0.5,RandSplitForest,no,1.5919498917481203
200,0.5,RandSplitForest,no,1.7971348947516064
200,0.5,RandSplitForest,no,2.324747595322913
200,0.5,RandSplitForest,no,1.8020467563593012
200,0.5,RandForest,no,1.523691653625771
200,0.5,RandForest,no,2.2497925300968546
200,0.5,RandForest,no,5.105924087385102
200,0.5,RandForest,no,2.0425733430941846
200,0.5,RandForest,no,1.6687613921336983
200,0.5,RandForest,no,3.2804300944035707
200,0.5,RandForest,no,2.64814004658996
200,0.5,RandForest,no,1.9799192619056736
200,0.5,RandForest,no,2.0766455428861086
200,0.5,RandForest,no,2.5791131280757194
200,0.5,RandForest,no,1.4719587708232493
200,0.5,RandForest,no,2.3790820611509567
200,0.5,RandForest,no,2.036926530770828
200,0.5,RandForest,no,1.8659654184112369
200,0.5,RandForest,no,2.9753152075896425
200,0.5,RandForest,no,1.4077065819925607
200,0.5,RandForest,no,2.0721239478254807
200,0.5,RandForest,no,2.3033931524120366
200,0.5,RandForest,no,1.6467672265134656
200,0.5,RandForest,no,2.37461972379781
200,0.5,RandForest,no,0.9411715652664291
200,0.5,RandForest,no,1.885068615320049
200,0.5,RandForest,no,1.5460953643926039
200,0.5,RandForest,no,1.6234336622150194
200,0.5,RandForest,no,1.6162724129312296
200,0.5,RandForest,no,1.7571926618696876
200,0.5,RandForest,no,1.5349285454784332
200,0.5,RandForest,no,1.5234424982297665
200,0.5,RandForest,no,1.382946634479085
200,0.5,RandForest,no,3.920818303727444
200,0.5,RandForest,no,1.9767079770778766
200,0.5,RandForest,no,2.1723209365337786
200,0.5,RandForest,no,1.4553936357677073
200,0.5,RandForest,no,2.176824896466668
200,0.5,RandForest,no,2.923167270433984
200,0.5,RandForest,no,1.7741893451191202
200,0.5,RandForest,no,2.329030744850317
200,0.5,RandForest,no,3.557540436866663
200,0.5,RandForest,no,1.3484171960445868
200,0.5,RandForest,no,1.993905615068729
200,0.5,RandForest,no,2.1172729494687825
200,0.5,RandForest,no,1.873143362908332
200,0.5,RandForest,no,1.3797508173356152
200,0.5,RandForest,no,2.112783944256729
200,0.5,RandForest,no,2.087572554560554
200,0.5,RandForest,no,1.9200514349702584
200,0.5,RandForest,no,1.4225598325841167
200,0.5,RandForest,no,2.2802895322309387
200,0.5,RandForest,no,1.7491457589532833
200,0.5,RandForest,no,2.261494021753518
400,0.5,"StochOptForest
(apx-soln)",yes,1.402342550718738
400,0.5,"StochOptForest
(apx-soln)",yes,1.6452036121344513
400,0.5,"StochOptForest
(apx-soln)",yes,1.5908943668427926
400,0.5,"StochOptForest
(apx-soln)",yes,1.2485895446704474
400,0.5,"StochOptForest
(apx-soln)",yes,1.2246024769777468
400,0.5,"StochOptForest
(apx-soln)",yes,1.2335642488792045
400,0.5,"StochOptForest
(apx-soln)",yes,1.3477770931437472
400,0.5,"StochOptForest
(apx-soln)",yes,1.3884498289565272
400,0.5,"StochOptForest
(apx-soln)",yes,1.3640061097510243
400,0.5,"StochOptForest
(apx-soln)",yes,1.43168828677093
400,0.5,"StochOptForest
(apx-soln)",yes,1.3288248807373206
400,0.5,"StochOptForest
(apx-soln)",yes,1.299847998015197
400,0.5,"StochOptForest
(apx-soln)",yes,1.2928365920523648
400,0.5,"StochOptForest
(apx-soln)",yes,1.2753752767860456
400,0.5,"StochOptForest
(apx-soln)",yes,1.7836003507869467
400,0.5,"StochOptForest
(apx-soln)",yes,1.347865004131001
400,0.5,"StochOptForest
(apx-soln)",yes,1.2303109532909897
400,0.5,"StochOptForest
(apx-soln)",yes,1.2190497964739313
400,0.5,"StochOptForest
(apx-soln)",yes,1.472459374878763
400,0.5,"StochOptForest
(apx-soln)",yes,1.432275882233475
400,0.5,"StochOptForest
(apx-soln)",yes,1.3438683173618953
400,0.5,"StochOptForest
(apx-soln)",yes,1.4111484935475906
