n,Method,rel_risk,p
200,GenRandForest,1.283797446178669,10
200,GenRandForest,1.587617915921762,10
200,GenRandForest,2.3142196355189135,10
200,GenRandForest,1.2374908893452035,10
200,"StochOptForest
(oracle)",1.3489692766781183,10
200,"StochOptForest
(oracle)",1.6884206089975349,10
200,"StochOptForest
(oracle)",1.2499210595517283,10
200,"StochOptForest
(oracle)",1.8923031879020151,10
200,"StochOptForest
(oracle)",1.4799746830950262,10
200,"StochOptForest
(oracle)",1.1692795997301955,10
200,"StochOptForest
(oracle)",1.814908409952261,10
200,"StochOptForest
(oracle)",1.315889460542769,10
200,"StochOptForest
(oracle)",1.1972010109775422,10
200,"StochOptForest
(oracle)",1.4721293602110317,10
200,"StochOptForest
(oracle)",1.426930664322585,10
200,"StochOptForest
(oracle)",1.3611706841387963,10
200,"StochOptForest
(oracle)",1.3301374205758278,10
200,"StochOptForest
(oracle)",1.4220717251559156,10
200,"StochOptForest
(oracle)",1.1877916612540844,10
200,"StochOptForest
(oracle)",1.4304327329344972,10
200,"StochOptForest
(oracle)",1.5969067981225722,10
200,"StochOptForest
(oracle)",1.2777575637793999,10
200,"StochOptForest
(oracle)",1.1428085137952082,10
200,"StochOptForest
(oracle)",1.3772477400224863,10
200,"StochOptForest
(oracle)",1.538834997198693,10
200,"StochOptForest
(oracle)",1.1926060006867605,10
200,"StochOptForest
(oracle)",1.108930663484479,10
200,"StochOptForest
(oracle)",1.2373476804810892,10
200,"StochOptForest
(oracle)",1.469885538233977,10
200,"StochOptForest
(oracle)",1.1442665826807972,10
200,"StochOptForest
(oracle)",1.1711528014656791,10
200,"StochOptForest
(oracle)",1.1814837698684564,10
200,"StochOptForest
(oracle)",1.2159135649602466,10
200,"StochOptForest
(oracle)",1.2533214334993774,10
200,"StochOptForest
(oracle)",1.853309659977733,10
200,"StochOptForest
(oracle)",1.151718358668093,10
200,"StochOptForest
(oracle)",1.3289832227133325,10
200,"StochOptForest
(oracle)",1.5417298116222542,10
200,"StochOptForest
(oracle)",1.1510341537185382,10
200,"StochOptForest
(oracle)",1.3080515939436053,10
200,"StochOptForest
(oracle)",1.252646971215514,10
200,"StochOptForest
(oracle)",1.267369071202425,10
200,"StochOptForest
(oracle)",1.2145366136324027,10
200,"StochOptForest
(oracle)",1.3915785496704183,10
200,"StochOptForest
(oracle)",1.609069775293375,10
200,"StochOptForest
(oracle)",1.2274593280079524,10
200,"StochOptForest
(oracle)",1.419054178464787,10
200,"StochOptForest
(oracle)",1.2230051591705107,10
200,"StochOptForest
(oracle)",1.3663438861616146,10
200,"StochOptForest
(oracle)",1.5661509441838541,10
200,"StochOptForest
(oracle)",1.2331363818673755,10
200,"StochOptForest
(oracle)",1.459424116056196,10
200,"StochOptForest
(oracle)",2.0227406389302853,10
200,"StochOptForest
(oracle)",1.2434503064473408,10
400,"StochOptForest
(apx-soln)",1.0877648075637647,10
400,"StochOptForest
(apx-soln)",1.2403122154976807,10
400,"StochOptForest
(apx-soln)",1.1231479894383878,10
400,"StochOptForest
(apx-soln)",1.125085701082814,10
400,"StochOptForest
(apx-soln)",1.4306780562673993,10
400,"StochOptForest
(apx-soln)",1.2132871603644904,10
400,"StochOptForest
(apx-soln)",1.1690110119941082,10
400,"StochOptForest
(apx-soln)",1.1792593206647617,10
400,"StochOptForest
(apx-soln)",1.205705822614198,10
400,"StochOptForest
(apx-soln)",1.136645274085718,10
400,"StochOptForest
(apx-soln)",1.187448702672011,10
400,"StochOptForest
(apx-soln)",1.1312985832226952,10
400,"StochOptForest
(apx-soln)",1.0907382245118846,10
400,"StochOptForest
(apx-soln)",1.2985736258887113,10
400,"StochOptForest
(apx-soln)",1.274274821442481,10
400,"StochOptForest
(apx-soln)",1.9153020938733003,10
400,"StochOptForest
(apx-soln)",1.1795561470630735,10
400,"StochOptForest
(apx-soln)",1.0675927601555815,10
400,"StochOptForest
(apx-soln)",1.1370795976372592,10
400,"StochOptForest
(apx-soln)",1.2712409638564788,10
400,"StochOptForest
(apx-soln)",1.3154010909567007,10
400,"StochOptForest
(apx-soln)",1.1291366117569568,10
400,"StochOptForest
(apx-soln)",1.527823552258208,10
400,"StochOptForest
(apx-soln)",1.1157869549867174,10
400,"StochOptForest
(apx-soln)",1.2276938984311616,10
400,"StochOptForest
(apx-soln)",1.1285483985782543,10
400,"StochOptForest
(apx-soln)",1.0883972182342665,10
400,"StochOptForest
(apx-soln)",1.2112342634563436,10
400,"StochOptForest
(apx-soln)",1.2108335744026097,10
400,"StochOptForest
(apx-soln)",1.2200130275695356,10
400,"StochOptForest
(apx-soln)",1.1692013694449583,10
400,"StochOptForest
(apx-soln)",2.0037486084178124,10
400,"StochOptForest
(apx-soln)",1.1742352330635106,10
400,"StochOptForest
(apx-soln)",1.1782344351281546,10
400,"StochOptForest
(apx-soln)",1.1616830105784959,10
400,"StochOptForest
(apx-soln)",1.1304603448944877,10
400,"StochOptForest
(apx-soln)",1.7277932074498437,10
400,"StochOptForest
(apx-soln)",1.371820437334216,10
400,"StochOptForest
(apx-soln)",1.2487428237166132,10
400,"StochOptForest
(apx-soln)",1.5104414032913938,10
400,"StochOptForest
(apx-soln)",1.2005488958873325,10
400,"StochOptForest
(apx-soln)",1.683972395084385,10
400,"StochOptForest
(apx-soln)",1.1397405848472681,10
400,"StochOptForest
(apx-soln)",1.16254911470404,10
400,"StochOptForest
(apx-soln)",1.0913051175249768,10
400,"StochOptForest
(apx-soln)",1.0777722045312952,10
400,"StochOptForest
(apx-soln)",1.2503039795312685,10
400,"StochOptForest
(apx-soln)",1.2150126902111822,10
400,"StochOptForest
(apx-soln)",1.1903250972274138,10
400,"StochOptForest
(apx-soln)",1.1561906167424432,10
400,"StochOptForest
(apx-risk)",1.1924335182962453,10
400,"StochOptForest
(apx-risk)",1.2275990848948866,10
400,"StochOptForest
(apx-risk)",1.1557590576927161,10
400,"StochOptForest
(apx-risk)",1.1803340013890047,10
400,"StochOptForest
(apx-risk)",1.4381685514728437,10
400,"StochOptForest
(apx-risk)",1.2650527596278467,10
400,"StochOptForest
(apx-risk)",1.2668210553608283,10
400,"StochOptForest
(apx-risk)",1.1683645881973779,10
