p,Method,rel_risk
10,10-NN,1.9173840348928226
10,10-NN,1.8848632455809409
10,10-NN,1.7143832887441675
10,10-NN,2.3392929808413285
10,10-NN,1.8001736316158021
10,10-NN,1.6613071261571937
10,10-NN,1.741793829960468
10,10-NN,1.7638381518556117
10,10-NN,1.863387656637916
10,10-NN,1.9642612506630317
10,10-NN,1.6874301284582414
10,10-NN,1.99072324362709
10,10-NN,2.06676192023539
10,10-NN,1.7937288278818544
10,10-NN,1.6693570413430663
10,10-NN,1.747974050600011
10,10-NN,2.0722813051078077
10,10-NN,1.9379449302887406
10,10-NN,2.3447158809424686
10,10-NN,2.192522267640009
10,10-NN,1.812761923402047
10,10-NN,1.7994684998901402
10,10-NN,1.7200338640806379
10,10-NN,1.6255653162782846
10,10-NN,1.6486949128854602
10,10-NN,2.088557033604367
10,10-NN,1.6425160515145272
10,10-NN,1.6519715070129104
10,10-NN,1.8358182607670943
10,10-NN,1.8073585331007482
10,10-NN,2.202286007615734
10,10-NN,2.214526516285359
10,10-NN,1.5936593361130282
10,10-NN,1.6681915113109649
10,10-NN,1.8558975748972089
10,10-NN,1.7155809418343744
10,10-NN,1.6849038565442507
10,50-NN,1.5723064869606707
10,50-NN,1.5987736895424416
10,50-NN,1.482815539288564
10,50-NN,1.3526316792820658
10,50-NN,1.562375887789449
10,50-NN,1.5204737862054527
10,50-NN,1.5329778975466914
10,50-NN,1.9513858202276357
10,50-NN,1.8567222572724111
10,50-NN,1.4765010814044732
10,50-NN,1.824601712094023
10,50-NN,1.8502153269816164
10,50-NN,1.7163032027805742
10,50-NN,1.6269558019573254
10,50-NN,1.720619035758891
10,50-NN,1.567607408565913
10,50-NN,2.1569819028937935
10,50-NN,1.7064120448536502
10,50-NN,1.4487049521503395
10,50-NN,1.6141202889772848
10,50-NN,1.6565134486204842
10,50-NN,1.5913107950672312
10,50-NN,1.5877114031504995
10,50-NN,1.5792099961745167
10,50-NN,1.8388075322765634
10,50-NN,1.818242467706215
10,50-NN,1.6862961946140207
10,50-NN,1.4631344840216145
10,50-NN,1.4237829529493689
10,50-NN,1.7808895180535564
10,50-NN,1.6239421991808605
10,50-NN,2.2902632983816824
10,50-NN,1.9237824616728085
10,50-NN,1.6977481413601065
10,50-NN,1.7820320744652884
10,50-NN,1.6375436352441308
10,50-NN,1.4182357998506816
10,50-NN,1.5488874968212476
10,50-NN,2.009113410711818
10,50-NN,1.4781068088231621
10,50-NN,1.5765273863427853
10,50-NN,1.6077220329565753
10,50-NN,1.7258391847315675
10,50-NN,1.8791988681584335
10,50-NN,1.5584822671582332
10,50-NN,1.510365246628714
10,50-NN,1.3516672207387717
10,50-NN,1.622641871251568
10,50-NN,1.486583519638749
10,50-NN,1.5743896324747737
20,RandSplitForest,2.0071371883354954
20,RandSplitForest,1.9800962243335067
20,RandSplitForest,1.994511205663905
20,RandSplitForest,2.282624495095441
20,RandSplitForest,2.1475885476858254
20,RandSplitForest,2.0966151877903316
20,RandSplitForest,1.9974206924170204
20,RandSplitForest,1.935475110705567
20,RandSplitForest,1.8554926340035423
20,RandSplitForest,1.9788313051588262
20,RandSplitForest,1.9384713278398291
20,RandSplitForest,1.9675522558971854
20,RandSplitForest,2.120786007762632
20,RandSplitForest,2.0631432832876406
20,RandSplitForest,2.3151404445592685
20,RandSplitForest,1.8233553946053611
20,RandSplitForest,1.9372000849291087
20,RandSplitForest,2.06583351086719
20,RandSplitForest,2.1589949190830886
20,RandSplitForest,2.581602521559695
20,RandSplitForest,2.32982638355835
20,RandSplitForest,2.0823133827566993
20,RandSplitForest,2.0346666447378343
20,RandSplitForest,2.2856347004543633
20,RandSplitForest,1.9430949804515194
20,RandSplitForest,2.146211688506702
20,RandSplitForest,2.1254152725583277
20,RandSplitForest,2.202009036734876
20,RandSplitForest,1.8879685270045115
20,RandSplitForest,2.0542688836799305
20,RandSplitForest,2.9780268699335246
20,RandSplitForest,2.2688673040898424
20,RandSplitForest,2.4141865659805224
20,RandSplitForest,2.219318149772954
20,RandSplitForest,2.2834519360162875
20,RandSplitForest,2.440461419542329
20,RandSplitForest,2.2367145286067394
20,RandSplitForest,2.2123598328802623
20,RandSplitForest,2.4618891479070353
20,RandSplitForest,1.8807728315661898
20,RandSplitForest,2.2796515280183227
20,RandSplitForest,2.296085466200032
20,RandSplitForest,1.821775847107715
20,RandSplitForest,2.1146455206692303
20,RandSplitForest,1.935657681392081
20,RandSplitForest,2.307505915934171
20,RandSplitForest,1.850275431384961
20,RandSplitForest,1.8282583902956417
20,RandSplitForest,2.0376090079895874
20,RandSplitForest,2.2786702652685684
20,"StochOptForest
(apx-soln)",1.1114901663028585
20,"StochOptForest
(apx-soln)",1.0727531755092958
20,"StochOptForest
(apx-soln)",1.1193102369097825
20,"StochOptForest
(apx-soln)",1.242074722969313
20,"StochOptForest
(apx-soln)",1.1244400431742005
20,"StochOptForest
(apx-soln)",1.1361162925646693
20,"StochOptForest
(apx-soln)",1.1039625834028344
20,"StochOptForest
(apx-soln)",1.1618452519824853
20,"StochOptForest
(apx-soln)",1.087260624620028
20,"StochOptForest
(apx-soln)",1.0989082818468814
20,"StochOptForest
(apx-soln)",1.0869235586445891
20,"StochOptForest
(apx-soln)",1.0617682737431122
20,"StochOptForest
(apx-soln)",1.083229169136856
20,"StochOptForest
(apx-soln)",1.1013895045939746
20,"StochOptForest
(apx-soln)",1.266569675147628
20,"StochOptForest
(apx-soln)",1.0670592985231055
20,"StochOptForest
(apx-soln)",1.0638951598116415
20,"StochOptForest
(apx-soln)",1.1041414455738405
20,"StochOptForest
(apx-soln)",1.116339180139204
20,"StochOptForest
(apx-soln)",1.4075269276053015
20,"StochOptForest
(apx-soln)",1.3323874494693069
20,"StochOptForest
(apx-soln)",1.0940069893384243
20,"StochOptForest
(apx-soln)",1.112385715990083
20,"StochOptForest
(apx-soln)",1.3003290579681275
20,"StochOptForest
(apx-soln)",1.0696686364464465
20,"StochOptForest
(apx-soln)",1.0918695861707999
20,"StochOptForest
(apx-soln)",1.0881546468712742
20,"StochOptForest
(apx-soln)",1.0799662761596778
20,"StochOptForest
(apx-soln)",1.0617334063858992
20,"StochOptForest
(apx-soln)",1.1367932128885185
20,"StochOptForest
(apx-soln)",1.5264778812459938
20,"StochOptForest
(apx-soln)",1.1288286060306254
20,"StochOptForest
(apx-soln)",1.5000066440453463
20,"StochOptForest
(apx-soln)",1.1743348943716936
20,"StochOptForest
(apx-soln)",1.4523184730969776
20,"StochOptForest
(apx-soln)",1.2603882406891023
20,"StochOptForest
(apx-soln)",1.1717415606309292
20,"StochOptForest
(apx-soln)",1.1268793421186756
20,"StochOptForest
(apx-soln)",1.1230883564617578
