p,Method,rel_risk
100,"StochOptForest
(apx-soln)",1.3791977548066658
100,"StochOptForest
(apx-soln)",1.4966023559170742
100,"StochOptForest
(apx-soln)",1.4573851229165864
100,"StochOptForest
(apx-soln)",1.7660058740095124
100,"StochOptForest
(apx-soln)",1.4503004877727923
100,"StochOptForest
(apx-soln)",1.725280413078328
100,"StochOptForest
(apx-soln)",1.4833422241030472
100,"StochOptForest
(apx-soln)",1.721125140127493
100,"StochOptForest
(apx-soln)",1.5036652305774452
100,"StochOptForest
(apx-soln)",1.4933793708929
100,"StochOptForest
(apx-soln)",1.6231143628623834
100,"StochOptForest
(apx-soln)",1.80851592059296
100,"StochOptForest
(apx-soln)",1.5530236291787838
100,"StochOptForest
(apx-soln)",2.0512671680810355
100,"StochOptForest
(apx-soln)",1.6066580464969353
100,"StochOptForest
(apx-soln)",2.179528137312154
100,"StochOptForest
(apx-soln)",2.1459176536527913
100,"StochOptForest
(apx-soln)",1.4512533273155923
100,"StochOptForest
(apx-soln)",1.5931710103507406
100,"StochOptForest
(apx-soln)",1.3753035769172546
100,"StochOptForest
(apx-soln)",1.3868406518760052
100,"StochOptForest
(apx-soln)",1.4702677637567902
100,"StochOptForest
(apx-soln)",1.3816826304183936
100,"StochOptForest
(apx-soln)",1.2918932259986387
100,"StochOptForest
(apx-soln)",1.5090994480745914
100,"StochOptForest
(apx-soln)",1.6782051061370018
100,"StochOptForest
(apx-soln)",1.3805501342328494
100,"StochOptForest
(apx-soln)",1.6654810836507634
100,"StochOptForest
(apx-soln)",1.6098709709168713
100,"StochOptForest
(apx-soln)",1.6077354522648797
100,"StochOptForest
(apx-soln)",1.9789550919723367
100,"StochOptForest
(apx-soln)",1.478801007346952
100,"StochOptForest
(apx-soln)",1.435225015976316
100,"StochOptForest
(apx-soln)",1.6785588712958437
100,"StochOptForest
(apx-soln)",1.3121684491486973
100,"StochOptForest
(apx-soln)",1.7391660080164646
100,"StochOptForest
(apx-soln)",1.3341905661004392
100,"StochOptForest
(apx-soln)",1.9516242619066713
100,"StochOptForest
(apx-soln)",1.6713740336684013
100,"StochOptForest
(apx-soln)",1.3196928945709336
100,"StochOptForest
(apx-soln)",1.3806058363781886
100,"StochOptForest
(apx-soln)",1.6293586327205107
100,"StochOptForest
(apx-soln)",1.4486314126377493
100,"StochOptForest
(apx-soln)",1.552213648325227
100,"StochOptForest
(apx-soln)",1.422968531210457
100,"StochOptForest
(apx-risk)",1.6100012300850919
100,"StochOptForest
(apx-risk)",1.6358362536823048
100,"StochOptForest
(apx-risk)",1.6855879033410253
100,"StochOptForest
(apx-risk)",1.4071646389475674
100,"StochOptForest
(apx-risk)",1.9676511062685027
100,"StochOptForest
(apx-risk)",1.5068610926060257
100,"StochOptForest
(apx-risk)",1.5757724431637645
100,"StochOptForest
(apx-risk)",1.5126466446869518
100,"StochOptForest
(apx-risk)",1.7929825190937776
100,"StochOptForest
(apx-risk)",1.5038822835721875
100,"StochOptForest
(apx-risk)",1.7171569638000332
100,"StochOptForest
(apx-risk)",1.5197557334914338
100,"StochOptForest
(apx-risk)",1.836054238860774
100,"StochOptForest
(apx-risk)",1.5824713983352283
100,"StochOptForest
(apx-risk)",1.5105465347718396
100,"StochOptForest
(apx-risk)",1.6204932027829184
100,"StochOptForest
(apx-risk)",1.7975646731670158
100,"StochOptForest
(apx-risk)",1.539674938578453
100,"StochOptForest
(apx-risk)",2.007506515082355
100,"StochOptForest
(apx-risk)",1.6348212744711386
100,"StochOptForest
(apx-risk)",2.326562190383585
100,"StochOptForest
(apx-risk)",2.174119144186004
100,"StochOptForest
(apx-risk)",1.448353639517841
100,"StochOptForest
(apx-risk)",1.6819548393423143
100,"StochOptForest
(apx-risk)",1.497617793319791
100,"StochOptForest
(apx-risk)",1.4785038630989737
100,"StochOptForest
(apx-risk)",1.5049775161279189
100,"StochOptForest
(apx-risk)",1.5692659858868085
100,"StochOptForest
(apx-risk)",1.4731955327187947
100,"StochOptForest
(apx-risk)",1.5134722507594334
100,"StochOptForest
(apx-risk)",1.7024444263138427
100,"StochOptForest
(apx-risk)",1.4349070631785876
100,"StochOptForest
(apx-risk)",1.6768206225068298
100,"StochOptForest
(apx-risk)",1.6244154493507783
100,"StochOptForest
(apx-risk)",1.675644634477108
100,"StochOptForest
(apx-risk)",2.034394513879625
100,"StochOptForest
(apx-risk)",1.5756426452995
100,"StochOptForest
(apx-risk)",1.4809344447756645
100,"StochOptForest
(apx-risk)",1.709273947361204
100,"StochOptForest
(apx-risk)",1.4416617705333425
100,"StochOptForest
(apx-risk)",1.8354322225813247
100,"StochOptForest
(apx-risk)",1.5164954445827405
100,"StochOptForest
(apx-risk)",1.9421760257155647
100,"StochOptForest
(apx-risk)",1.735179790431686
100,"StochOptForest
(apx-risk)",1.3876306565465701
